,cnn_0,cnn_1,cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,cnn_7,cnn_8,cnn_9,cnn_10,cnn_11,cnn_12,cnn_13,cnn_14,cnn_15,cnn_16,cnn_17,cnn_18,cnn_19,cnn_20,cnn_21,cnn_22,cnn_23,cnn_24,cnn_25,cnn_26,cnn_27,cnn_28,cnn_29,cnn_30,cnn_31,ID
0,1.241468,0.0,0.0,0.0,0.0,0.0,0.0,0.066853136,0.9905871,0.27232894,0.0,0.0,0.7374447,0.0,0.019726679,0.0,0.0,0.0,0.0,0.0,0.8622434,0.0,0.099114224,0.2851058,0.23123187,0.0,0.6254064,0.0,0.0,2.0693307,0.0,0.5471923,102
1,0.0,1.2324096,0.0,1.0639277,1.1201603,0.0,0.8287246,0.0,0.0,1.2601844,1.8924748,1.6262509,0.0,1.4729689,0.0,1.4534687,0.60760427,0.29811543,0.92872536,0.0,0.0,1.2042974,0.0,0.0,0.91581595,0.0,0.0,1.2524683,1.2231731,0.0,0.0,0.0,103
2,0.0,1.342468,0.04341112,1.2267323,1.1133605,0.0,0.7630955,0.0,0.0,1.0683266,1.4720392,1.3918886,0.0,1.4742874,0.0,1.2448549,0.93991303,0.68058205,1.1147776,0.0,0.0,0.92717636,0.0,0.0,1.0239742,0.0,0.0,1.1485078,0.98763406,0.0,0.0,0.0,109
3,0.0,0.8616943,0.0,0.7985923,0.76927394,0.0,0.55711544,0.0,0.0,0.7836848,1.0174627,0.87353456,0.0,0.9832009,0.0,0.8712926,0.6285848,0.42971784,0.7541322,0.0,0.0,0.5369623,0.0,0.0,0.7190206,0.0,0.0,0.77592415,0.6847975,0.0,0.0,0.0,116
4,0.0,0.0,0.0,0.0,0.0,0.0,0.050138198,0.15787584,0.07722068,0.101408005,0.1377055,0.0,0.0,0.0640671,0.0,0.11959551,0.08903088,0.024118885,0.0,0.031252995,0.23298958,0.021618731,0.05928798,0.05510886,0.15605666,0.0,0.35007268,0.02708605,0.08143699,0.3733966,0.0,0.25689244,123
5,0.0,1.3527045,0.0,1.1251395,1.2428842,0.0,0.85756207,0.0,0.0,1.2870226,1.9054174,1.5961288,0.0,1.6180379,0.0,1.4799271,0.74505997,0.41367897,1.0105083,0.0,0.0,1.1014841,0.0,0.0,0.9046326,0.0,0.0,1.2598017,1.2704135,0.0,0.0,0.0,136
6,0.0,1.6700524,0.02396965,1.4973079,1.5168141,0.0,1.0854453,0.0,0.0,1.5281284,2.188101,2.0671353,0.0,1.9612619,0.0,1.7391506,0.9583075,0.56231016,1.2979181,0.0,0.0,1.3260683,0.0,0.0,1.2387998,0.0,0.0,1.5008868,1.4547111,0.0,0.0,0.0,137
7,0.0,1.7843753,0.0,1.5620152,1.7388687,0.0,1.2645892,0.0,0.0,1.8063974,2.6120622,2.4257045,0.0,2.1748512,0.0,2.0204396,0.8857991,0.40012795,1.3402185,0.0,0.0,1.4710628,0.0,0.0,1.3128009,0.0,0.0,1.6418205,1.7235041,0.0,0.0,0.0,141
8,0.0,1.793995,0.19684589,1.653664,1.4983615,0.0,1.0219679,0.0,0.0,1.3812829,1.902522,2.00423,0.0,1.9872959,0.0,1.6109538,1.2295514,0.89033663,1.4620358,0.0,0.0,1.2099845,0.0,0.0,1.3980721,0.0,0.0,1.4547175,1.2818309,0.0,0.0,0.0,144
9,0.0,2.27096,0.0,1.85241,2.0317554,0.0,1.3888355,0.0,0.0,2.048895,3.122723,2.936952,0.0,2.729278,0.0,2.3943863,1.1998518,0.63912535,1.6098486,0.0,0.0,1.9941021,0.0,0.0,1.5458566,0.0,0.0,2.0626616,2.0323837,0.0,0.0,0.0,146
10,0.0,1.5604523,0.0829165,1.4305868,1.3183097,0.0,0.9229219,0.0,0.0,1.2678722,1.7735461,1.7444066,0.0,1.7498838,0.0,1.4717666,1.0261545,0.7139821,1.2671738,0.0,0.0,1.1205224,0.0,0.0,1.1908778,0.0,0.0,1.3311577,1.1969613,0.0,0.0,0.0,147
11,0.0,1.8198822,0.0,1.5149566,1.5313529,0.0,1.0501652,0.0,0.0,1.521096,2.3188171,2.1442473,0.0,2.1293783,0.0,1.8049697,1.0670029,0.648046,1.3310534,0.0,0.0,1.5474135,0.0,0.0,1.2373554,0.0,0.0,1.6420803,1.5362455,0.0,0.0,0.0,148
12,0.0,2.1812804,0.017927185,1.8149433,1.8994526,0.0,1.2806126,0.0,0.0,1.8864324,2.8570254,2.717443,0.0,2.5609674,0.0,2.220844,1.2318832,0.7209564,1.5809016,0.0,0.0,1.8759755,0.0,0.0,1.5173243,0.0,0.0,1.9738623,1.8407067,0.0,0.0,0.0,155
13,0.0,2.0050726,0.0,1.672814,1.8039352,0.0,1.2394476,0.0,0.0,1.8223394,2.7266827,2.547234,0.0,2.3885095,0.0,2.1156712,1.0910276,0.6080376,1.4660357,0.0,0.0,1.7046412,0.0,0.0,1.3999206,0.0,0.0,1.8184536,1.7776614,0.0,0.0,0.0,157
14,0.0,2.478253,0.041846633,1.9636755,2.1106272,0.0,1.3873454,0.0,0.0,2.0633938,3.2137222,3.052599,0.0,2.9290562,0.0,2.4669714,1.4044579,0.82085717,1.7343818,0.0,0.0,2.1268218,0.0,0.0,1.6424557,0.0,0.0,2.19699,2.0783198,0.0,0.0,0.0,158
15,0.0,1.6890633,0.16983029,1.5563095,1.3976244,0.0,0.94882154,0.0,0.0,1.2896106,1.7807705,1.843537,0.0,1.8621352,0.0,1.5086114,1.1767465,0.86104596,1.3839135,0.0,0.0,1.137591,0.0,0.0,1.3124728,0.0,0.0,1.3810359,1.1963184,0.0,0.0,0.0,160
